country,year,total_fte_serv
eu,1990,
eu,1991,
eu,1992,
eu,1993,
eu,1994,
eu,1995,
eu,1996,
eu,1997,
eu,1998,
eu,1999,
eu,2000,781000
eu,2001,799000
eu,2002,802000
eu,2003,760000
eu,2004,762000
eu,2005,736000
eu,2006,823000
eu,2007,845000
eu,2008,838000
eu,2009,840000
eu,2010,872000
eu,2011,905000
eu,2012,904000
eu,2013,886000
eu,2014,796000
eu,2015,845000
eu,2016,883000
eu,2017,892000
eu,2018,909000
eu,2019,920000
eu,2020,975000
eu,2021,992000
eu,2022,
eu,2023,
